Compound_CID,SMILES,Carcinogenicity
158628,C1=CC(=C(C=C1C2=CC(=C(C(=C2)Br)Br)Br)Br)Br,"2A, probably carcinogenic to humans. (L135)"
158629,C1=CC(=C(C(=C1C2=CC(=C(C(=C2)Br)Br)Br)Br)Br)Br,Group 2A: Probably carcinogenic to humans
158630,C1=C(C=C(C(=C1Br)Br)Br)C2=C(C=C(C=C2Br)Br)Br,"2A, probably carcinogenic to humans. (L135)"
158631,C1=C(C(=CC(=C1Br)Br)Br)C2=C(C(=CC(=C2Br)Br)Br)Br,"2A, probably carcinogenic to humans. (L135)"
159266,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Gd+3],Ingested nitrate or nitrite under conditions that result in endogenous nitrosation is probably carcinogenic to humans (Group 2A). (L135)
159295,N.N.N.N.N.N.[Cl-].[Cl-].[Cl-].[Co+3],"2B, possibly carcinogenic to humans. (L135)"
159369,[Al+3].[Al+3].[S-2].[S-2].[S-2],"Not listed by IARC. IARC classified aluminum production as carcinogenic to humans (Group 1), but did not implicate aluminum itself as a human carcinogen. (L135) A link between use of aluminum-containing antiperspirants and increased risk of breast cancer has been proposed (A235), but studies have not been able to establish a clear link (A15468)."
159387,C.[V],No indication of carcinogenicity to humans (not listed by IARC).
159397,[S-2].[S-2].[S-2].[Cr+3].[Cr+3],"3, not classifiable as to its carcinogenicity to humans. (L135)"
159399,[P-3].[P-3].[Cu+2].[Cu+2].[Cu+2],No indication of carcinogenicity to humans (not listed by IARC).
159418,[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Ba+2],No indication of carcinogenicity to humans (not listed by IARC).
159419,[O-2].[O-2].[O-2].[Ti+4].[Ba+2],No indication of carcinogenicity to humans (not listed by IARC).
159456,[P-3].[Fe+3],No indication of carcinogenicity to humans (not listed by IARC).
159682,C(#N)[S-].C(#N)[S-].C(#N)[S-].C(#N)[S-].[NH4+].N.N.[Cr+3],"3, not classifiable as to its carcinogenicity to humans. (L135)"
159687,O[Si](O)(O)O.[Zn].[Zn],No indication of carcinogenicity to humans (not listed by IARC).
159698,[B-](F)(F)(F)F.[B-](F)(F)(F)F.[Sn+2],No indication of carcinogenicity to humans (not listed by IARC).
159722,[B-](F)(F)(F)F.[Ag+],No indication of carcinogenicity to humans (not listed by IARC).
159743,[O-][Si](=O)[O-].[O-][Si](=O)[O-].[O-][Si](=O)[O-].[Al+3].[Al+3],"Not listed by IARC. IARC classified aluminum production as carcinogenic to humans (Group 1), but did not implicate aluminum itself as a human carcinogen. (L135) A link between use of aluminum-containing antiperspirants and increased risk of breast cancer has been proposed (A235), but studies have not been able to establish a clear link (A15468)."
159748,N(=O)[O-].N(=O)[O-].N(=O)[O-].N(=O)[O-].N(=O)[O-].N(=O)[O-].[Na+].[Na+].[Na+].[Co+3],Ingested nitrate or nitrite under conditions that result in endogenous nitrosation is probably carcinogenic to humans (Group 2A). Cobalt compounds are possibly carcinogenic to humans (Group 2B).
159769,CC(C(=O)[O-])O.CC(C(=O)[O-])O.[Cd+2],"1, carcinogenic to humans. (L135)"
159865,[O-]S(=O)(=O)[O-].[Ag+].[Ag+],No indication of carcinogenicity to humans (not listed by IARC).
159879,C1=CC=NC=C1.C1=CC=NC=C1.O[Cr](=O)(=O)O[Cr](=O)(=O)O,"1, carcinogenic to humans. (L135)"
159924,CN.[N+](=O)(O)[O-],Ingested nitrate or nitrite under conditions that result in endogenous nitrosation is probably carcinogenic to humans (Group 2A). (L135)
160036,[H+].[H+].[H+].CC1=NC=C(C(=C1[O-])CN(CCN(CC2=C(C(=NC=C2COP(=O)([O-])[O-])C)[O-])CC(=O)[O-])CC(=O)[O-])COP(=O)([O-])[O-].[Na+].[Na+].[Na+].[Mn+2],No indication of carcinogenicity to humans (not listed by IARC).
160306,C[C@@]12CC[C@@]3([C@@]([C@]1(CC4=C(O2)C=C(OC4=O)C5=CC(=C(C(=C5)OC)O)OC)O)(C(=O)C=CC3(C)C)C)O,No indication of carcinogenicity to humans (not listed by IARC).
160419,C(CC(=O)[O-])C(=O)[O-],Not listed by IARC. Has been implicated in oncogenesis (A15088).
160437,C(C[C@@H](C(=O)O)O)CN=C(N)N,No indication of carcinogenicity to humans (not listed by IARC).
160462,C[C@@H]1C[C@@H]2[C@@H](CC3=CNC4=CC=CC2=C34)N(C1)C,No indication of carcinogenicity to humans (not listed by IARC).
160539,C1CC2=C3C1=CC=CC3=CC4=CC=CC=C24,Group 3: Not classifiable as to its carcinogenicity to humans
160556,C(CCN[C@@H](CCC(=O)O)C(=O)O)C[C@@H](C(=O)O)N,No indication of carcinogenicity to humans (not listed by IARC).
160666,C1=NC(=C(N1[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)O)O)O)N)C(=O)N[C@@H](CC(=O)O)C(=O)O,No indication of carcinogenicity to humans (not listed by IARC).
160801,C[As](=O)([O-])[O-].O.O.O.O.O.O.[Na+].[Na+],"3, not classifiable as to its carcinogenicity to humans. (L135)"
160931,[O-][Mn](=O)(=O)[O-].[K+].[K+],No indication of carcinogenicity to humans (not listed by IARC).
160964,[OH-].[OH-].[OH-].[OH-].[Sn+4],No indication of carcinogenicity to humans (not listed by IARC).
160982,[O-2].[O-2].[O-2].[O-2].[Na+].[Na+].[U],"Uranium: Group 1, carcinogenic to humans (L135)"
161056,[Cl-].[Cl-].[Cl-].[Cl-].[Pd+2],No indication of carcinogenicity to humans (not listed by IARC).
161205,[H+].[H+].[Cl-].[Cl-].[Cl-].[Cl-].[Pd+2],No indication of carcinogenicity to humans (not listed by IARC).
161559,CC(C)CCCCCCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCCCCCC(C)C,No indication of carcinogenicity to humans (not listed by IARC).
161915,CC1=CC=C(C=C1)S(=O)(=O)C[N+]#[C-],No indication of carcinogenicity to humans (not listed by IARC).
161975,C1C(C(C(C(C1NC2C=C(C(C(C2O)O)O)CO)O)O)O)CO,No indication of carcinogenicity to humans (not listed by IARC).
162113,CCCCCC1=CC(=C2[C@H]3[C@@H](CC[C@]([C@H]3OC2=C1)(C)O)C(=C)C)O,No indication of carcinogenicity (not listed by IARC). (L135)
162245,CC1=C[C@@H]2[C@](CC1)([C@]3(CC[C@H]([C@@]34CO4)O2)C)C,No indication of carcinogenicity to humans (not listed by IARC).
162381,CC(=C[C@@H]1[C@H](C1(C)C)C(=O)OCC2=COC(=C2)CC3=CC=CC=C3)C,No indication of carcinogenicity to humans (not listed by IARC).
162839,C1=CC(=NC(=C1Cl)C(=O)O)Cl.C(CO)N,No indication of carcinogenicity to humans (not listed by IARC).
164521,C1CN(CCC1O[C@@H](C2=CC=C(C=C2)Cl)C3=CC=CC=N3)CCCC(=O)O.C1=CC=C(C=C1)S(=O)(=O)O,No indication of carcinogenicity to humans (not listed by IARC).
164522,C1CN(CCC1O[C@@H](C2=CC=C(C=C2)Cl)C3=CC=CC=N3)CCCC(=O)O,No indication of carcinogenicity to humans (not listed by IARC).
164558,C1C2=CC=CC3=C2C4=C1C5=CC=CC=C5C=C4C=C3,Group 3: Not classifiable as to its carcinogenicity to humans
164650,C1=CC=C(C=C1)C(=O)[O-].C1=CC=C(C=C1)C(=O)[O-].[Cu+2],No indication of carcinogenicity to humans (not listed by IARC).
164754,CC(C)[C@H]1C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N1C)C(C)C)C(C)C)C)C(C)C)C(C)C)C)C(C)C,No indication of carcinogenicity to humans (not listed by IARC).
164804,[Al+3].[Al+3].[Se-2].[Se-2].[Se-2],"3, not classifiable as to its carcinogenicity to humans. (L135)"
164826,[OH-].[OH-].[Cu+2],Not Available
164827,[O-2].[Cu+2],No indication of carcinogenicity to humans (not listed by IARC).
165549,C1C[C@@H]2[C@H]3CCCN4[C@H]3[C@H](CCC4)CN2C(=O)C1,No indication of carcinogenicity to humans (not listed by IARC).
165642,[O-]I(=O)=O.[Ag+],No indication of carcinogenicity to humans (not listed by IARC).
165827,CC(=O)[O-].CC(=O)[O-].O=[U]=O.[Zn+2],"Uranium: Group 1, carcinogenic to humans (L135)"
165868,[O-]P(=O)([O-])[O-].[O-]P(=O)([O-])[O-].[Ni+2].[Ni+2].[Ni+2],"1, carcinogenic to humans. (L135)"
165912,[F-].[Ag+],No indication of carcinogenicity to humans (not listed by IARC).
165914,[S-2].[Cu+2],No indication of carcinogenicity to humans (not listed by IARC).
165931,[O-2].[O-2].[O-2].[O-2].[O-2].[Al+3].[Al+3].[Sr+2].[Sr+2],"Not listed by IARC. IARC classified aluminum production as carcinogenic to humans (Group 1), but did not implicate aluminum itself as a human carcinogen. (L135) A link between use of aluminum-containing antiperspirants and increased risk of breast cancer has been proposed (A235), but studies have not been able to establish a clear link (A15468)."
165934,[AlH3].[AlH3].[AlH3].[Ta],"Not listed by IARC. IARC classified aluminum production as carcinogenic to humans (Group 1), but did not implicate aluminum itself as a human carcinogen. (L135) A link between use of aluminum-containing antiperspirants and increased risk of breast cancer has been proposed (A235), but studies have not been able to establish a clear link (A15468)."
165984,[GaH]=[Se],"3, not classifiable as to its carcinogenicity to humans. (L135)"
165985,[Ga+3].[Ga+3].[Se-2].[Se-2].[Se-2],"3, not classifiable as to its carcinogenicity to humans. (L135)"
166055,[Se-2].[Se-2].[Se-2].[In+3].[In+3],"3, not classifiable as to its carcinogenicity to humans. (L135)"
166548,CCCCCOC1=CC=C(C=C1)C2=CC=C(C=C2)C3=CC=C(C=C3)C(=O)N[C@H]4C[C@H]([C@H](NC(=O)[C@@H]5[C@H]([C@H](CN5C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H]6C[C@H](CN6C(=O)[C@@H](NC4=O)[C@@H](C)O)O)[C@@H]([C@H](C7=CC=C(C=C7)O)O)O)[C@@H](C)O)C)O)O)O,No indication of carcinogenicity to humans (not listed by IARC).
166603,C.[U],"Uranium: Group 1, carcinogenic to humans (L135)"
166652,[OH-].[OH-].[OH-].[OH-].[Na+].[Na+].[Zn+2],No indication of carcinogenicity to humans (not listed by IARC).
166709,[S-2].[Ni+2],"1, carcinogenic to humans. (L135)"
166736,[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[Cr+3].[Cr+3].[Mo].[Mo].[Pb+2].[Pb+2],"2A, probably carcinogenic to humans. (L135)"
166738,[S-2].[Ag+].[Ag+],No indication of carcinogenicity to humans (not listed by IARC).
166846,[O-]S(=O)(=O)[O-].[Pd+2],No indication of carcinogenicity to humans (not listed by IARC).
166888,[O-]S(=O)(=O)[O-].[O-]S(=O)(=O)[O-].[O-]S(=O)(=O)[O-].[V].[V],No indication of carcinogenicity to humans (not listed by IARC).
166987,C(CN)N.C(CN)N.[Cl-].[Cl-].[Cl-].[Co+3],"2B, possibly carcinogenic to humans. (L135)"
167155,B([O-])([O-])[O-].B([O-])([O-])[O-].[Zn+2].[Zn+2].[Zn+2],No indication of carcinogenicity to humans (not listed by IARC).
167250,C[As](=O)(C)[O-],"2B, possibly carcinogenic to humans. (L135)"
167305,C1=CC=C(C=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)C(=O)[O-].[OH-].[K+].[K+],No indication of carcinogenicity to humans (not listed by IARC).
167444,Cl[U](Cl)Cl,"Uranium: Group 1, carcinogenic to humans (L135)"
167753,CCSC1=CC=C(C=C1)OC(=O)NC,No indication of carcinogenicity to humans (not listed by IARC).
167845,CC(=O)[O-].CC(=O)[O-].[Pd+2],No indication of carcinogenicity to humans (not listed by IARC).
168464,F[P-](F)(F)(F)(F)F.[Ag+],No indication of carcinogenicity to humans (not listed by IARC).
168754,N.N.N(=O)[O-].N(=O)[O-].[Pd+2],No indication of carcinogenicity to humans (not listed by IARC).
169132,CC1(CC(CC(C1)(C)CN=C=O)N=C=O)C,No indication of carcinogenicity to humans (not listed by IARC).
169148,CNC(=NC)NCCC[C@@H](C(=O)O)N,No indication of carcinogenicity to humans (not listed by IARC).
169202,CC(=C)[C@@H]1CC[C@]1(C)CCO,No indication of carcinogenicity (not listed by IARC). (L135)
169371,C1=CC(=CC=C1C(=O)N[C@@H](CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=NC(=N3)N)N,No indication of carcinogenicity to humans (not listed by IARC).
169870,CCCCCC(=O)O[C@@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C)C(=O)C,"2B, possibly carcinogenic to humans. (L135)"
170336,CN(C)CCO[C@@H](C1=CC=C(C=C1)Cl)C2=CC=CC=N2,No indication of carcinogenicity to humans (not listed by IARC).
171218,[O-2].[Al+3].[Ti+4].[Ba+2],"Not listed by IARC. IARC classified aluminum production as carcinogenic to humans (Group 1), but did not implicate aluminum itself as a human carcinogen. (L135) A link between use of aluminum-containing antiperspirants and increased risk of breast cancer has been proposed (A235), but studies have not been able to establish a clear link (A15468)."
171219,[O-2].[Ca+2].[Ti+4].[Ba+2],No indication of carcinogenicity to humans (not listed by IARC).
171277,CC1C(=O)NC2CC3=C(NC4=CC=CC=C34)SCC(C(=O)N5CC(CC5C(=O)N1)O)NC(=O)C(NC(=O)C(NC(=O)C(NC2=O)CC(C)(C)O)C(C)C)C(C(=O)O)O,No indication of carcinogenicity to humans (not listed by IARC).
171349,CCC(C)C1C(=O)NCC(=O)NC2CS(=O)C3=C(CC(C(=O)NCC(=O)N1)NC(=O)C(NC(=O)C4CC(CN4C(=O)C(NC2=O)CC(=O)O)O)C(C)CC)C5=C(N3)C=C(C=C5)O,No indication of carcinogenicity to humans (not listed by IARC).
171350,CCC(C)C1C(=O)NCC(=O)NC2CS(=O)C3=C(CC(C(=O)NCC(=O)N1)NC(=O)C(NC(=O)C4CCCN4C(=O)C(NC2=O)CC(=O)N)C(C)CC)C5=C(N3)C=C(C=C5)O,No indication of carcinogenicity to humans (not listed by IARC).
171548,C1[C@H]2[C@@H]([C@@H](S1)CCCCC(=O)O)NC(=O)N2,No indication of carcinogenicity to humans (not listed by IARC).
173612,CC1=CC(=CC=C1)CN2CCN(CC2)C(C3=CC=CC=C3)C4=CC=C(C=C4)Cl.O.Cl.Cl,No indication of carcinogenicity to humans (not listed by IARC).
173619,CC1=CC2=C(C=C1)O[C@@H]3[C@]2(CCC(=O)[C@@H]3NC(=O)CCN4CCN(CC4)C)C,No indication of carcinogenicity (not listed by IARC). (L135)
173636,C=CCOC(CN1C=CN=C1)C2=C(C=C(C=C2)Cl)Cl.OS(=O)(=O)O,No indication of carcinogenicity to humans (not listed by IARC).
175686,CC(C)CCCCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCCCC(C)C,No indication of carcinogenicity to humans (not listed by IARC).
175804,CCCN1CCCC[C@H]1C(=O)NC2=C(C=CC=C2C)C.Cl,No indication of carcinogenicity to humans (not listed by IARC).
175805,CCCN1CCCC[C@H]1C(=O)NC2=C(C=CC=C2C)C,No indication of carcinogenicity to humans (not listed by IARC).
175927,C1=CC2=C(C=C1Br)C3=CC(=C(C(=C3O2)Cl)Cl)Cl,No indication of carcinogenicity (not listed by IARC). (L135)
176051,C1=C2C3=C(C(=C(C=C3OC2=C(C(=C1Br)Br)Br)Br)Br)Br,No indication of carcinogenicity (not listed by IARC). (L135)
176052,C1=C2C3=C(C(=C(C(=C3Br)Br)Br)Br)OC2=C(C(=C1Br)Br)Br,No indication of carcinogenicity (not listed by IARC). (L135)
176603,C1=CC(=C(C(=C1)Br)C2=C(C=CC=C2Br)Br)Br,"2A, probably carcinogenic to humans. (L135)"
176879,CC(C)OC(=O)NNC1=C(C=CC(=C1)C2=CC=CC=C2)OC,No indication of carcinogenicity to humans (not listed by IARC).
177577,O.[O-]S(=O)(=O)[O-].[Mn+2],Not Available
177781,[Ag][131I],No indication of carcinogenicity to humans (not listed by IARC).
177863,CCC(C)(C)C(=O)OC1=C(C(=O)OC12CCCCC2)C3=C(C=C(C=C3)Cl)Cl,No indication of carcinogenicity to humans (not listed by IARC).
179931,[O-2].[Ni+2],Not Available
180001,C1=CC(=C(C=C1Br)C2=CC(=C(C(=C2Br)Br)Br)Br)Br,"2A, probably carcinogenic to humans. (L135)"
180089,CCCCOC(=O)[C@@H](C)OC1=CC=C(C=C1)OC2=C(C=C(C=C2)C#N)F,No indication of carcinogenicity to humans (not listed by IARC).
180504,[NH4+].[NH4+].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Ce+4],Ingested nitrate or nitrite under conditions that result in endogenous nitrosation is probably carcinogenic to humans (Group 2A). (L135)
180583,C1=CC=C(C=C1)C2=C(C=CC(=C2)Br)Br,"2A, probably carcinogenic to humans. (L135)"
181210,C1=CC=C(C=C1)C2=C(C=CC=C2Br)Br,"2A, probably carcinogenic to humans. (L135)"
181211,C1=CC(=CC(=C1)Br)C2=C(C=CC(=C2)Br)Br,"2A, probably carcinogenic to humans. (L135)"
181212,C1=CC(=CC=C1C2=C(C=CC(=C2)Br)Br)Br,"2A, probably carcinogenic to humans. (L135)"
181213,C1=CC(=C(C=C1C2=C(C=CC(=C2)Br)Br)Br)Br,"2A, probably carcinogenic to humans. (L135)"
181214,C1=CC(=C(C=C1Br)C2=C(C=C(C=C2Br)Br)Br)Br,"2A, probably carcinogenic to humans. (L135)"
181262,C1=CC=C(C=C1)C2=CC(=C(C=C2)Br)Br,"2A, probably carcinogenic to humans. (L135)"
181312,CC(=CCOC1=C2C(=C3C(=C1)C=CC(=O)O3)C=CO2)C,"Not listed by IARC. IARC has assessed other furocoumarins, classifying 8-methoxypsoralen as carcinogenic to humans (Group 1), 5-methoxypsoralen as possibly carcinogenic to humans (Group 2A), and certain other furocoumarins as not being classifiable as to their carcinogenicity to humans (Group 3). (L135)"
181458,CC12CC3CC(C1)(CC(C3)(C2)N)C.Cl,No indication of carcinogenicity to humans (not listed by IARC).
181773,C1=CC(=C(C=C1Br)Br)C2=C(C=C(C=C2)Br)Br,"2A, probably carcinogenic to humans. (L135)"
181948,C1=CC(=C(C(=C1Br)C2=CC(=C(C(=C2Br)Br)Br)Br)Br)Br,"2A, probably carcinogenic to humans. (L135)"
181949,C1=CC(=C(C=C1Br)C2=C(C=CC(=C2Br)Br)Br)Br,"2A, probably carcinogenic to humans. (L135)"
181950,C1=C(C=C(C(=C1Br)Br)Br)C2=CC(=C(C(=C2Br)Br)Br)Br,"2A, probably carcinogenic to humans. (L135)"
181976,C(C(CC(=O)O)O)C(=O)O,No indication of carcinogenicity to humans (not listed by IARC).
182137,CN[C@@]1(CCCCC1=O)C2=CC=CC=C2Cl,No indication of carcinogenicity to humans (not listed by IARC).
182662,C1=CC=C(C=C1)C2=C(C(=C(C=C2)Br)Br)Br,"2A, probably carcinogenic to humans. (L135)"
182951,CCOC(=O)COC1=C(C=C(C(=C1)C2=NN(C(=C2Cl)OC(F)F)C)F)Cl,No indication of carcinogenicity to humans (not listed by IARC).
183885,C1=CC=C2C(=C1)C3=C(O2)C=CC=C3OC(Cl)Cl,No indication of carcinogenicity (not listed by IARC). (L135)
184492,CC1=C2[C@H](C(=O)[C@@]3([C@@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C,No indication of carcinogenicity to humans (not listed by IARC).
185061,C[C@]12CC[C@H]3C(=C[C@H]([C@H](O3)C(C)(C)O)O)[C@@]1(CC[C@@H]4[C@@]2(C5=C(C4)C6=CC7=C(C=C6N5)C8=CC(OC([C@H]8[C@@H]7O)(C)C)(C)C)C)O,No indication of carcinogenicity to humans (not listed by IARC).
185062,CC(=O)O[C@@H]1C=C2[C@H](CC[C@]3([C@]2(CC[C@@H]4[C@@]3(C5=C(C4)C6=C(N5)C=C7C(=C6)C[C@H]8C7=CC(OC8(C)C)(C)C)C)O)C)O[C@@H]1C(C)(C)O,No indication of carcinogenicity to humans (not listed by IARC).
185063,CC(=O)O[C@@H]1C=C2[C@H](CC[C@]3([C@]2(CC[C@@H]4[C@@]3(C5=C(C4)C6=CC7=C(C=C6N5)C8=CC(OC([C@H]8[C@@H]7O)(C)C)(C)C)C)O)C)O[C@@H]1C(C)(C)O,No indication of carcinogenicity to humans (not listed by IARC).
185588,CC1=C(C=CC(=C1)Cl)O[C@H](C)C(=O)O,"2B, possibly carcinogenic to humans. (L135)"
185748,C1=CC=C(C=C1)C2=C(C=C(C=C2)Br)Br,"2A, probably carcinogenic to humans. (L135)"
186342,CC(=O)C(C(=O)NC1=CC=CC=C1)N=NC2=C(C=C(C=C2)C3=CC(=C(C=C3)N=NC(C(=O)C)C(=O)NC4=CC=CC=C4)Cl)Cl,Not Available
186907,COC1=C2C3=C(C(=O)CC3)C(=O)OC2=C4[C@@H]5C=CO[C@@H]5OC4=C1,"1, carcinogenic to humans (L135)"
187827,CC(=C[C@H]1[C@H](C1(C)C)C(=O)OCC2=CC(=CC=C2)OC3=CC=CC=C3)C,No indication of carcinogenicity to humans (not listed by IARC).
189283,C1=CC=C(C=C1)C2=CC(=C(C=C2Br)Br)Br,"2A, probably carcinogenic to humans. (L135)"
189284,C1=CC=C(C=C1)C2=CC(=C(C(=C2)Br)Br)Br,"2A, probably carcinogenic to humans. (L135)"
189285,C1=CC=C(C=C1)C2=CC(=C(C(=C2Br)Br)Br)Br,"2A, probably carcinogenic to humans. (L135)"
189658,C1=C(C=C(C(=C1C2=C(C(=CC(=C2Br)Br)Br)Br)Br)Br)Br,"2A, probably carcinogenic to humans. (L135)"
191211,CCCCN(CC)C(=O)S(=O)CCC,No indication of carcinogenicity to humans (not listed by IARC).
193530,C(CC(C(=O)O)O)CC(=O)O,No indication of carcinogenicity to humans (not listed by IARC).
197001,CN1CCC2=CC(=C(C3=C2[C@@H]1CC4=CC5=C(C=C43)OCO5)OC)OC,No indication of carcinogenicity to humans (not listed by IARC).
197119,[O-][As]=O.[O-][As]=O.[Pb+2],"1, carcinogenic to humans. (L135)"
197132,[O-2].[O-2].[O-2].[Zr+4].[Ba+2],No indication of carcinogenicity to humans (not listed by IARC).
197153,[F-].[F-].[F-].[F-].[F-].[F-].[Si+4].[Cd+2],"1, carcinogenic to humans. (L135)"
197162,C1[C@H]([C@@H]([C@H]([C@@H]([C@H]1N)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CN)O)O)N)O[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O[C@@H]4[C@@H]([C@H]([C@@H]([C@@H](O4)CN)O)O)N)O)O)N.OS(=O)(=O)O,No indication of carcinogenicity to humans (not listed by IARC).
197810,CN1CC2=C(C=CC3=C2OCO3)[C@@H]4[C@H]1C5=CC6=C(C=C5C[C@@H]4O)OCO6,No indication of carcinogenicity to humans (not listed by IARC).
197865,C1CC2=C(C1)C3=CC4=C(C=C3C=C2)C5=CC=CC=C5C=C4,Group 3: Not classifiable as to its carcinogenicity to humans
197873,C1=CC(=CC2=NC3=C(C=CC(=C3)N)C=C21)N.Cl,Not Available
200103,C1=CC2=C(C(=C1)Cl)SC=C2COC(CN3C=CN=C3)C4=C(C=C(C=C4)Cl)Cl.[N+](=O)(O)[O-],No indication of carcinogenicity to humans (not listed by IARC).
205536,C1=C(ONC1=O)CN.Br,No indication of carcinogenicity to humans (not listed by IARC).
205586,C1CCN[C@@H](C1)C2=CN=CC=C2,No indication of carcinogenicity to humans (not listed by IARC).
207666,C[C@]1(CC23C[C@H]([C@]4([C@@H](C[C@H](C4(C)C)O)[C@]([C@@H]2CCC1[C@@H]3O)(C)O)O)O)O,No indication of carcinogenicity to humans (not listed by IARC).
213013,C1=CC=C(C(=C1)C2=CC=C(C=C2)Cl)NC(=O)C3=C(N=CC=C3)Cl,Not listed by IARC.
213031,CC1(CCCCC1)C(=O)NC2=C(C(=C(C=C2)O)Cl)Cl,No indication of carcinogenicity to humans (not listed by IARC).
213032,CC1(C(=O)N(C(=O)O1)NC2=CC=CC=C2)C3=CC=C(C=C3)OC4=CC=CC=C4,No indication of carcinogenicity to humans (not listed by IARC).
216239,CNC(=O)C1=NC=CC(=C1)OC2=CC=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F,No indication of carcinogenicity to humans (not listed by IARC).
220520,COC1=C(C=C2C(=C1)C34CCN5C3CC6C7C4N2C(=O)CC7OCC=C6C5)OC,No indication of carcinogenicity to humans (not listed by IARC).
221493,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C,No indication of carcinogenicity to humans (not listed by IARC).
222528,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C,Not listed by IARC.
223368,C[C@]12CC[C@H]3C(=CCC4=C3C=CC(=C4)O)[C@@H]1CCC2=O,No indication of carcinogenicity to humans (not listed by IARC).
223578,CC12CCC3C(C1CCC2C(=O)CO)CCC4=CC(=O)CCC34C,No indication of carcinogenicity to humans (not listed by IARC).
237332,C1=C(OC(=C1)C=O)CO,Not Available
245005,CCN1C[C@@]2([C@@H](C[C@@H]([C@@]34[C@@H]2[C@H]([C@@H](C31)[C@@]5([C@@H]6[C@H]4C[C@@]([C@@H]6OC(=O)C7=CC=CC=C7)([C@H]([C@@H]5O)OC)O)OC(=O)C)OC)OC)O)COC,No indication of carcinogenicity to humans (not listed by IARC).
245038,C1(=O)C2([C@]3(C4([C@]2(C5(C1(C3(C5(C4(Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl,"2B, possibly carcinogenic to humans. (L135)"
249266,C1=CC=C(C=C1)C2=CC=CC=C2Cl,"1, carcinogenic to humans. (L135)"
249332,CC[C@@]1(C[C@@H]2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C=O)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O.OS(=O)(=O)O,Group 3: Not classifiable as to its carcinogenicity to humans
253877,[K+].[Br-],No indication of carcinogenicity to humans (not listed by IARC).
253881,[Na+].[Br-],No indication of carcinogenicity to humans (not listed by IARC).
258027,C1=CC(=CC=C1N(C2=CC=C(C=C2)Br)C3=CC=C(C=C3)Br)Br,No indication of carcinogenicity (not listed by IARC). (L135)
261943,CC1C(C(CC(O1)O[C@H]2CC[C@]3([C@@H](C2)CC[C@@H]4[C@@H]3CC[C@]5([C@@]4(C[C@@H]([C@@H]5C6=CC(=O)OC6)OC(=O)C)O)C)C)OC)O,No indication of carcinogenicity to humans (not listed by IARC).
264115,CN1CCC23C4NC5=CC=CC=C5C2(C1NC6=CC=CC=C36)CCN4C,No indication of carcinogenicity to humans (not listed by IARC).
266461,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)OC(=O)CC5=CC=C(C=C5)N(CCCl)CCCl)C)C,Not Available
